ticket_id,customer_id,subscription_id,category,created_at,resolved_at,status,agent_id,priority
bee8e7d6-a7fc-4f07-8d5b-f12ec66bc110,68b3a6db-8228-4ff3-a154-80527f0b609e,d804184f-cd93-49bc-83c9-8818a05236d7,sim,2025-09-08 17:34:31,2025-09-17 17:34:31,closed,1724,low
a623d6d2-a1ac-44ae-9f12-6b8e06372def,d78305de-cc98-4b1a-9ec7-8d6ce521d403,dfdb1454-9861-4b74-b85d-1f2732caf9f9,billing,2025-08-05 01:49:14,2025-08-11 01:49:14,closed,1476,low
dee71041-c31c-44cd-b005-b4a2b344d441,31a8dd29-3fbf-4820-9439-4bc470fdcb5b,c9231430-b348-4ea8-859e-9877f0595f00,network,2024-07-07 14:49:49,,open,1042,medium
1714abbe-5cc3-4de2-b858-660d03cdfeef,a547a77b-b423-4bb4-a68b-f4f30943892d,93ed6227-c33b-4ee1-8c6a-af2ce5fc3f56,sim,2024-05-15 14:29:01,2024-05-28 14:29:01,closed,1240,medium
3fb6224a-6a12-4d1c-8425-c5d3db940210,193eba9c-606f-4598-bace-826036a5f8ad,6402ff77-54a1-431f-83d1-a4ba5789d1b3,network,2025-01-09 18:42:00,2025-01-19 18:42:00,closed,1167,medium
163e3bae-630c-4e15-b9ae-b651ebaac8a8,31ee63b1-d3e1-4d99-a5cc-ba74a0156eb8,37a4f880-e9c0-4dc7-882d-1296157dd61a,sim,2025-08-17 11:55:23,2025-09-05 11:55:23,closed,1377,low
659e9e78-7983-4049-ab92-8221641b6db7,c8bf495d-3c30-4924-8fe0-50d88d1bd8ad,96feaa4a-be5a-41aa-a785-b1fa248a3fce,billing,2025-05-11 07:03:49,2025-05-29 07:03:49,closed,1335,low
83b76a9f-5ddc-4624-9d81-c41aeef05a77,55183571-fa98-4c4b-b39d-c35f22ab5978,c10901f5-999f-45ab-9540-9f0a106ff203,billing,2025-04-14 21:16:33,2025-05-12 21:16:33,closed,1592,medium
14800594-125b-43bd-b041-b022c0329ad4,be9df643-4e35-4745-9c51-ae1830b69ed4,204024e0-befa-4a32-87db-29a0e1f87092,sim,2025-08-29 10:07:22,,open,1170,medium
e580cf75-b9af-492b-8e5f-242c16744036,3f1f2f7b-48c1-4998-9fcf-96e5a4ada15c,88634e7a-6bc5-47d2-9e2e-1c4d7723a492,sim,2024-12-29 08:44:43,2025-01-14 08:44:43,closed,1883,low
d7ac4d16-03f5-40c3-8d1f-8f470962a36e,e8b8277e-bf3b-4081-a6b6-17a95fbfae01,38c116a5-fd4c-4014-8d6f-89326fff1050,sim,2025-11-22 11:45:25,2025-12-01 11:45:25,escalated,1868,medium
824645fc-415d-4e6d-9944-1b2c196653f9,7679e2b5-697c-43f6-85a6-b760bff6bf42,99c70446-e36a-4f83-99da-4ce00fb61204,billing,2025-01-22 21:40:37,2025-02-04 21:40:37,closed,1281,low
86ed2a54-e618-4819-b4f9-484da0537f10,89c25b23-083b-4340-abdd-4c471acdce93,3e46b36b-56fa-497c-8dcf-bc7a307bdb44,network,2023-01-19 14:56:32,2023-01-27 14:56:32,escalated,1281,medium
0df67032-3dcd-4010-8bdc-726a7364e4a6,788fcd7a-7cba-477b-9453-8e34ff6575cf,7a9e8896-7c19-4c1c-944c-a8bfc9a29f7b,device,2025-10-12 03:30:27,2025-10-17 03:30:27,closed,1226,medium
68eb9aab-bd53-4a68-817b-426f161f6a23,2f0beec9-7106-488d-8f3a-400349789f78,a606d3b2-9a54-4eaf-a0d1-fa2fa9a2f211,sim,2025-11-10 05:30:00,2025-12-02 05:30:00,closed,1736,medium
834d6cab-2ee6-4bff-bb07-fe700de199f0,9b6fd4b0-b08b-496b-9279-3bde85c95bb6,215ded7e-1365-4e13-822c-e398724900c8,device,2025-03-02 23:42:34,2025-03-25 23:42:34,closed,1552,low
b05d5eae-c46c-42b4-bea7-6952c1eac866,9b72b2cc-88bc-4eca-83b3-41c675072766,e4e85b75-6ca2-4144-9b6d-7ba549c64e39,sim,2024-09-18 21:35:50,2024-09-20 21:35:50,closed,1984,low
