subscription_plan_id,subscription_id,plan_id,start_date,end_date
3d59fba6-d8bb-4f25-9206-82af17703286,714c7a98-d6bc-425a-8d0e-fc2c685c5685,d16b43c6-4e39-4708-959a-5790f8e2453b,2023-11-27,
46ea1ff0-6682-4b1e-bbc5-cd29f7551fc1,c41e7ec3-60e9-4648-bc98-9bdce61311c4,96446e3f-dae1-4141-963b-8f12df284b25,2025-11-19,
3b32b850-251f-4049-819f-4e246496e9d9,0830f584-d2f3-49af-9d5a-3e93fd3e6328,a1913a4b-3c3d-4710-9a5f-c5c4b436f2cc,2024-02-13,
6302d7a5-a99c-4195-9560-a316ed4eebb8,7df01455-a207-42d0-ab5b-261b774d47df,32890e59-f114-4859-9644-ec8170382a26,2025-03-04,
de6f2f78-26e3-4797-bbe3-de87a3c4401a,ff58fc63-0197-42ef-825b-a2cf867625f1,a2274e44-87a8-4459-b7c8-b58de6a3eee4,2025-11-08,
ae2c64a8-dde5-483b-91e4-244758f05202,d56c45b0-d4b0-4bd6-ab23-6ee4d23f6fc7,2b91fa18-2e65-40de-b04e-22d7f5c2b1ad,2025-11-21,
efe42979-2bdc-4612-8486-91c450a1213f,2b9a1495-1b7f-4401-ba3f-ef6380fd7429,adfa6d65-a9ea-43cc-9bfb-aea394ae5a44,2025-05-15,
993e7317-53dc-46ed-bee7-9bab8171781e,4e5843f2-78f2-46ff-905a-2ccc9f2d27fb,07b7c0d6-ea0a-4146-9a15-1d732b2ff560,2024-01-11,
934f6b03-3a9c-4ada-8ba4-f01634a8a1a5,da86538f-794a-452b-99af-63f5c15e4da6,2dfe01a0-7e80-443f-a9bc-6c7f2cba09bc,2023-05-02,
276f9bd1-7264-4bde-b6bb-5f74688c59ab,abe79ea9-5ec9-4905-9400-3443bdc37f8b,54b27069-cb0e-46bd-97ff-6e2d18ef0b8d,2025-09-15,
8b35f7b6-419e-4e98-ad26-7241d072e222,edf46711-1ef0-4b0b-b754-f85f9d0df802,e9578d31-cfca-4cfd-af55-308e15e06fb6,2022-09-01,
3a53491c-b233-406c-acff-58a11fb0d18a,e9d7f504-8d19-410d-bc92-bac24a7a2198,3d4f70a3-f009-467a-9734-7c116153fd40,2024-11-08,
02c40dc2-dd93-4580-a848-7c09aade4048,444a0f50-2beb-40a8-9841-e51c64c0b9f5,e031b70b-cb48-4dab-be41-8739f8a589a7,2024-09-13,
e2a65b42-0f0f-48fc-a4d5-d86825abcb4a,eaa23d44-9797-477a-9105-e70e241aa161,c6c47e9d-cbdb-432b-a00b-a223851fdaf6,2025-01-25,
5395e6c2-9220-454c-9b36-cbc03126ccac,47fdf8d1-a213-47cb-ad80-63681916b86e,a62086a0-e1ae-4e79-8180-0e12c9ce54af,2025-11-08,
c29c1892-47cf-4570-84c2-f2f88f5d567e,de544f02-a0c2-4497-8f23-4b4d86e5b9be,19461d97-d004-4978-b5d8-28848c0690d3,2023-02-04,
fa0169cf-a790-4522-99bb-c63ba20ca23d,aa5dc9d2-1629-4cd1-9c7a-c9527a9b6643,334f9fa5-ebdb-44f3-9691-92c567708579,2024-03-08,
9eda28a2-8664-4e24-9207-0b577aa227ad,d72510f1-2623-4167-a5eb-9793169ea07a,95c28586-7bcd-4596-85ae-a19c808f4687,2025-02-20,
00684c52-960a-41fd-84f5-f7a4d80ed0f0,26c85ad1-d59d-452c-94c5-574593f8aab9,9d64c7ef-40a3-4346-9ea0-5e13c82a597b,2025-08-30,
ce248286-a5a3-4911-92ec-cb1c634ec862,83894743-7d74-47dc-b9e8-361d0067cece,135787ec-f842-472f-9623-510a2ff122da,2024-07-02,
49b65aec-ee17-4ba9-af7f-4deaa434ae0e,73f37ed5-b9e7-4957-a5a6-2660ee0c8169,df9d63f5-e869-4a13-af96-56aec825fb18,2025-09-28,
25a0a5ad-b689-4db0-9d86-5ae876abc13f,dac5d77b-0bfb-4ab6-94a4-2f2c4ba9d26c,c1ca19c3-cee7-4b2b-81a2-a0ba907851be,2025-06-27,
3c6511b8-5782-4f91-92e2-aa8274423f1a,c413488e-3f8e-4cc4-af3a-33ae6752e899,cb5418a4-4e7b-41a4-ba87-59417dbf71fc,2025-10-20,
d547111a-e7f4-40e1-a506-49ad55a53dbf,226e7e16-3b78-4190-842b-e74f902157d1,4de2a656-125f-43b7-a349-c081290529c3,2025-11-09,
f93059c6-dad6-48f5-959e-677dd064066f,16617825-5c6f-4156-825e-412317db8fd6,cecce083-b749-4780-8d8f-a7085be2ee51,2022-08-07,
22db6a7a-b23a-411e-b985-09a25e9ac210,85845900-b984-4403-8041-4e1cd147c1a6,0cea9ca0-6b55-41aa-8f0a-fdd39160721d,2025-05-14,
a87632c0-4517-47a0-a2f7-33a5561b5255,04301326-95d5-4543-be86-2492ce086f3b,d6128a63-b73e-4ab4-8e70-57a9b585e915,2025-08-23,
b337de92-c96b-4845-acec-eb98d411e2da,fa36f899-5156-4c1f-a810-aa89c02f05b2,99db2b0d-2e8a-4901-bf1c-f835945b84d2,2024-12-28,
9f8edb8f-fb0d-4b06-ba50-a0ba1bd0df5d,2b3238dd-1800-4ce1-988f-2defa9025c7e,79ddfe6a-1eea-48f9-9a15-d668e3e34580,2024-12-12,
71aef4df-785e-40af-bd3f-f8c9b0558910,27db75ae-c897-4b5a-90fa-3d0ee0efa394,2c0c3638-2de7-4dc2-9b0e-98e4588714be,2024-11-13,
687886c7-d2d5-4ac6-9482-b93259f2b7c8,efc98ef4-64f8-4719-beb3-d35972b84eb3,d813e66b-4b76-485a-b5e7-81894393f408,2024-04-15,
b5823957-6598-42c3-948f-39c01341504f,059f2b55-eefa-402c-8f6f-2cf67199395b,687669ec-d8b1-48fd-af26-fbfade3f9320,2022-09-16,
61d5c632-4c86-4172-9445-abf5635ba2cd,e1687760-417b-416a-ae70-c5fbeeb50943,d12287af-92e1-44ed-88fb-d86c5e4515c0,2023-03-10,
2fd9e674-f25f-48e6-a69b-102cc2512551,b3566610-4d5d-4911-ba3d-3ca50bbedc24,80c444ba-eb96-4b0a-9aa1-b2f00c0d68d4,2022-02-13,
c633c993-4318-4732-9274-68941a96e793,fb8bbe3d-b6f2-4945-9bfa-75e8510db84a,f0bf3875-536e-4d16-b05f-03e7117139b4,2023-03-28,
4b856f9d-f916-4707-ba9f-c1fa0beb6a5e,8aaeb72c-ddfc-4e2c-a4d7-e16091500ecd,ed62a1f1-e49e-4100-bf4d-95e79a3d7b0b,2022-09-06,
17898ab3-1481-4f54-8b63-9294d42758d6,74d46548-e4ed-4e19-9ebb-690f7e99eb8c,60dd6f8d-fee2-4a84-a7c3-b1e25ea16c65,2023-10-26,
7dd87b7d-d831-4929-b52c-279609fb566f,c00e42cc-e3bd-4877-96e9-19e37ef4ba45,c4f68559-c1a0-4921-ab29-f7b4c37b3553,2025-01-16,
59c0b005-15c5-4c7a-b63c-2a71391b7c34,bd4a819a-5a7f-4d96-8c52-5d257396042b,dae34b6e-1229-45ec-82b7-c5b1d57f6b77,2024-04-19,
c1f22c0d-09c5-4da6-abb3-2dbf4566e6c2,6353714f-2a5a-43da-ad63-cd24e20ec416,188a0ecc-cfbc-467f-b7db-d51aeec84988,2024-06-10,
c9263a88-6377-4d6b-bb84-5d93c67fe918,e89cc397-305d-4f6c-9504-106f8fddb69d,b18ea302-e8ca-474d-964d-a642760c3503,2024-10-29,
9f6889a9-0cd3-4947-9784-5c61950e870a,05857e89-64c8-446d-9c79-514d7fb0524a,de4b3ce0-a3c1-457b-b604-98486939cdd8,2022-08-16,
