cdr_id,subscription_id,call_duration_seconds,consumed_mb,timestamp
3243aac5-92e8-4201-bb59-19380f3b3d04,5716a647-aefc-427c-bc7c-54c2adc6bc38,6,9.759,2025-04-10 06:02:11
35a39c4a-1913-4870-b7e5-ce654ab488fd,f5d1a564-efe8-4789-b739-a538a10cc671,13,2.881,2025-05-12 20:50:37
4cd34b7f-181d-4138-ba86-9314ee27956b,0e4cc986-79f8-4785-a08a-0cb7451bd78e,25,15.602,2025-03-22 07:51:26
c8d1664b-8073-4127-9ba4-646b9cea3e69,0279a302-b8ca-4731-9859-eb96461afc4d,3,16.934,2025-10-25 15:09:05
fc89d796-be6b-4b2e-b58e-d9f5d1e0428f,c0557bd9-dab5-4149-874b-aab05615edde,7,19.096,2024-01-14 08:55:31
23d9c18c-83cb-4c1f-8a4d-8887a2c104c5,e46b20e2-d1ce-4e0b-926e-7e04ed501807,4,8.569,2025-11-04 15:08:32
e4773aa5-8133-460b-a0df-17fe37a1d263,5f01e058-51de-4a5c-ab9f-11cf3868992c,2,3.445,2025-10-24 13:34:31
9e8554dd-b2b8-428a-a927-6d97c3a07adb,4c14a10e-49d4-420e-b019-47b35a1b1911,6,12.308,2025-11-06 04:02:25
747df02f-61aa-40c4-b805-6fd9be90a438,835c8320-a798-4089-a8b2-bfadf97236b7,3,4.646,2025-07-09 06:26:16
bf36bef7-dc9e-4efc-a9ad-06cf69a2a4e5,acc4f1e0-4da4-421f-9a24-5839f323f07b,8,7.422,2025-11-13 06:03:13
6fd5357e-9abf-4269-a96e-9b763ee91d46,ce34a9b5-8535-48e5-90d9-dcd3a8b797d2,91,9.583,2025-11-16 22:45:57
ab46fbc9-bffa-4133-a995-a17a3021b2a2,2d56c0a3-e699-4f11-b2a6-efff09c8af1f,3,5.388,2025-04-08 19:33:37
1c1dd41d-c22e-40eb-a275-6dca677749fd,c0fda6df-8de9-42f6-856c-fd13a8475f8f,4,3.878,2025-10-26 10:00:06
8b4d3db2-770b-4785-b93e-db4e9065551c,a26b968f-9ead-42c3-810b-422a11e9a6be,20,22.607,2025-10-24 07:17:33
2f5f4b37-ce81-479d-ac6f-23a365dfbaea,9b95ec6b-a956-40c4-bf1f-ea5969ede8de,4,9.723,2024-12-21 00:29:49
9b5bfecb-bc52-461e-b6e9-c1bddf4d65f1,30aa0873-99bf-45f6-a34a-58b9b9b306ac,9,9.189,2025-09-06 04:32:20
96ad5b3a-d709-4a28-98b5-beab9b495229,085f5ad1-54a4-4398-8d97-7c2ada8c7794,3,12.955,2024-11-01 19:45:27
706c05a6-e4e4-4042-8e78-a80aa741c432,2530bb83-dc9c-429c-aaee-715056455a43,1,0.502,2025-05-24 03:34:35
e0b2842c-5636-48dc-a952-4dc86d99e96d,5362f53d-08a1-4402-9a26-04f081b61d26,4,2.833,2024-12-19 23:49:17
30503b55-dd84-42d2-a427-4d7bba402381,264fcf67-6745-4607-82a4-d82cd73dba60,4,3.605,2023-03-24 13:29:09
ef8beaa4-3d3b-4cae-afa9-134b5f64e213,e205fbef-3b0f-4318-9f42-01c7b093abbd,5,7.568,2025-08-14 14:35:35
7ecac2eb-8a96-4713-a206-860ef959cdde,9ea6831e-0f12-4ad2-93da-4142074e10d1,21,1.195,2025-09-14 08:48:01
cd686870-ce0d-4a42-b8cf-0c7875c21d10,3d69c4dd-9587-4117-a07c-9fbd97d87e23,7,2.661,2025-07-26 05:46:27
442590aa-0ebb-40a7-9d7f-c6eeec53b97a,efaa1cb6-d2df-4a11-a06e-5ef8bc48cab7,4,2.561,2025-08-03 06:58:18
417dfedf-e79f-4b11-a1cf-91f045752eaa,9d5aa657-6840-40c8-a968-f155d641751e,29,3.887,2025-11-18 02:08:36
43fb081b-5036-417b-88e6-3fb2e88b757e,bcf91b82-46e4-450e-9505-0ee935b9c97b,11,24.369,2024-02-07 06:38:04
1104d920-36c8-4527-b061-99ab3c579a61,7c85551b-ceba-42f4-914b-5dfe5fc1aa49,8,0.986,2025-07-07 11:24:01
7f667fd5-ba32-4f38-91a9-42a815d9aed6,e182f924-0976-442d-ad72-e86f538aba42,61,0.867,2025-10-13 00:58:20
50a5165e-e68c-4e80-a08a-ed0fe13f57aa,94fcbef2-d32c-45a9-8bef-7fd3aaa8ebf5,3,0.655,2023-10-19 22:44:19
f4369aa1-564f-4142-b07c-7f655c346fe5,287284d5-9dcb-4169-85b0-0c614b16bdf1,8,3.944,2025-10-20 12:18:00
dde50276-7275-486a-a655-0604b39486f2,d04054ea-8808-4126-8458-edbf641cc3b6,1,6.53,2023-02-02 03:37:59
caa9a2a6-9f1e-45eb-8738-a3361c7ca621,7d8642ea-99ac-4261-96de-b10f716a3fc1,5,7.537,2024-03-02 08:35:40
206cf4ea-d4f4-4301-9d31-7884538977aa,394f8ca5-1b6f-49ce-a567-d9f51b610827,16,8.088,2025-10-26 13:40:56
91cbb8c4-48cc-4271-a95a-bed20ff44b04,f31a78ed-26f0-4824-abda-3e8cc6db5e99,1,8.707,2024-12-11 19:46:55
e9328d0c-2659-40b6-bae7-857e90525444,60338fe5-edf8-469e-a887-9fb33fc786c7,6,8.731,2023-11-06 23:22:15
05736e59-217b-4278-a254-4e4e301732fd,3cf934ed-f7ee-4474-90f9-cb06aebb2278,4,1.202,2025-10-12 02:17:54
af7eb031-a60c-42c3-ac0c-6124fc64102a,4c2630a7-e819-4b25-9854-c395fe66308b,3,16.193,2025-11-21 16:32:19
9ad7c798-863d-4425-9d64-968df7d723f0,4a2546fd-7951-4858-a3ff-2d48431affec,87,5.315,2022-08-25 21:48:32
bc81d2fa-ddb1-4bd4-bcd2-ecc4e8348fc3,842cb561-adf5-409e-8df7-de5f08f58878,5,12.342,2025-09-09 08:57:41
9e75f77c-3018-4e77-9662-cc10a0b9a3c7,af36b4a8-b73e-4c16-be08-457d1ae2afd9,10,3.512,2025-09-04 23:26:48
b900e8b2-2d52-4077-b7a3-a96dbd60b824,a57851fc-3a96-4046-8c8d-d42a86970487,5,1.402,2025-03-24 02:37:20
